wallet,balance,value_in,value_out
0x0e99bf9044b683fd2474ee5f4987d2e71e0428b1,3,3,0
0x4ef91cfe3bc07c0d82bdddf0d123f770b4cc3fa3,1,1,0
0x58029a1b3714eef93a08b146ed8e65300706af91,1,4,3
0x5c5f2d6b503ff195cb989cbcfe73d92858c491a9,200,200,0
0x8dde319619b32aa1412daf862968ee94c7b12569,1,1,0
0x902bd0dd989eaf1d2c974204b625e35adb8bc4e9,1,1,0
0x9926c366f076cf3faa655ebc7a58c2f20c0931b8,10,10,0
0x9f179f91bf567bdf3572b541053e9a361e0c4163,1,5,4
0xa04f4a4b7306cb72f30828834db01699362a4989,1,1,0
0xaa94d963bd7b6c8ddde07a4b4cf13e26c2650899,1169,1169,0
0xbe0bfc97888c3b9b2702e6286b534fa102c98abc,1,1,0
0xc1968ea99c02ddff501c7161de0ad0b453dc7482,2,2,0
0xc27ac7924ca8760a17bab7a81b8d6afdace71a13,1,1,0
0xdc66324065e070516d965ebf8679e0f4d529d7ed,1,2,1
0x04fb4042b113b85ecf34c16008f92f3d75378a00,1,1,0
0x0f4a23879f26f706f223ea3fbe572a5e1f9fa92a,1,1,0
0x4a85dc63e5140becb8a4c297cd50f2da3fa7444d,1,16,15
0x4aa6993eff298e18f08b4f8f3b58c32408523bcd,1,1,0
0x5e2bc5095808e1122d243d994a9901c0fc7ff4b2,1,1,0
0x751096b33dd45785ee202aa532e0e8e36f47b869,1,1,0
0x7d4e7c70477dd372db4b9aa63fffbd8c006d10d4,1,1,0
0x823cca638191e4799b7ca553bfacd604855469fe,2,2,0
0x8c8b5fc621af683e7a97ca956e4f1a32838b64fa,1,1,0
0x9d763beb2ed8691c3b248028602d32a052e2a49c,1,1,0
0xaa1d6169247dc28ac8f09b8c692b865aa423b06a,51,415,364
0xad2e45398d5b708a902ae7179fe24cb922e6a92f,2,2,0
0xae855b8c27837101a99f434ae5c7d2d3fc26abe7,3,3,0
0xd1ddc862bb1b57561ecf44761e9b245aa2c6e129,1,1,0
0xd418b832fa1323b0de802f7d755c8aadd0129927,1,1,0
0xfa2f77a3d4c432d97f018f60ee425692016ce0af,1,1,0
0xfbc3994e45a253e1e87d522203c3bad9f524d484,1,1,0
0xfd7b97967ed2f04c8d49d98ba65e9addf3039224,1,1,0
0x088e57347af582f1d27262240fefc9135205f249,1,1,0
0x13a272c90e94865e611ed7fab20704b6dfcfb266,1,1,0
0x15413ec073096c67f6d07f80cf28a42c1df0dcec,1,1,0
0x15a1fc62e6c0045dc7116ca5191feb3c55901743,1,1,0
0x3518d19985cc91a9b6085a65023729d06dbe476f,1,1,0
0x36425a179dae49057d35d1f23d221357d3c96e63,1,1,0
0x37c247a2c81005ee037d7b2491612ef74214b701,1,1,0
0x3af8dee03d8fcdd18509abfcdecb782dcde98665,1,1,0
0x5858d523dca58049f68bc5df579dc8444bc11743,1,1,0
0x5943ed39a0115508c225d0f1ab2fa3a6bf95bb2a,5,5,0
0x668a1274d794d2432e0c11201858be9335731913,1,1,0
0x8512bebeecbcf11bee291e771209f0ff624edb7f,1,1,0
0x858d9f093cd5e0c909df36188f4fb89ecad068bd,1,1,0
0xa6a07b7f78022467e9a90628b3a9cff8a129ad90,1,1,0
0xbd00889c181c983b369edf51e8e09b75f3f6aade,5,5,0
0xede6a80ab8b94c535f8b06277d7e4b6441030266,2,2,0
0xf14822f857d6c9644eeb1d7ad7e06ab89a5bd368,1,1,0
0xf598f7968352bfe985dbe53de65bbfa054cb0d61,1,1,0
0xf9e519278df5ff7eb4ed4625b5fa1776a213a479,1,1,0
0x05bcdda7036957379539b4d34debb11db7f3399d,1,1,0
0x1b8ce8447f87bf3862bf08f5608c07562d02132c,1,1,0
0x25c6cb15821925cdf4971c43575c4b4008ba7e4f,1,1,0
0x33e90a3ab186a50849050a6bcba4592e7792f69b,1,1,0
0x42d8fa522df2c483e8b693d8b05c04135fce7bf9,1,1,0
0x49c0eec321591acd6d73203f9ecffab71e955a60,1,1,0
0x5171dcfd09ac42f591f9bb90bc9a330cd0cc0d94,50,50,0
0x67eead269d2004a0f845dfe335a059c39c7c989f,1,1,0
0x754bf9ebd66da72169b5b0ad0dbf67a0a17e1079,1,1,0
0x8359ebe9d307579cf69c7e5662d39b2df5db587d,15,15,0
0x8888593c15563f94e40684112e3d36e1f5ef6262,1,7,6
0xaf64fa2fad976eeb07be41fb0606a1d7885ce49f,1,2,1
0xb9989094d68ef2fdec906b7a7b53a3ce51bf4209,1,1,0
0xc17040ca13579ce1357d3c9ee31bada3ef820430,2,4,2
0xd9a751e6454f9694d8f133b88d00cb444df40923,1,1,0
0xda45630bb3021b505dd61d7738b5f8f4bc05c37f,1,1,0
0xdac6ea68a6bf34a972118398de4ee48d253ab4ca,1,2,1
0xddec13d54f9314210421dc9562843fdcde982ccd,1,1,0
0xed27e48cd71ebe44ff5d206b47dc1fcd82e16e7f,1,1,0
0xfc78b2a05facd79b2bcc611104cd4912cffbe5b9,1,1,0
0x0795d1d3c951d7c13654831c0756431037c773c5,1,1,0
0x3391bc69c04817ecf43e68419faaca59b9f5920d,1,1,0
0x3f2498252545df67d7df4c27c06f9ef6896f5e45,1,1,0
0x4d06ab95a51282424450bff1030e93c269dc1b9a,1,2,1
0x5a7d318db603628c4dd2ec7f19c7d33bb1cff6de,1,1,0
0x7cae82d2c73c3a8dadcdee65eb85ffa44bafe041,1,1,0
0x872daa156d3bd4374b999e89c1fcbeeb9b654043,1,1,0
0x9f312f68571050fadfafd88c2ac5df115b55be73,1,1,0
0xa5d8babc37f806fafa32214285c00e8d750c0ba1,2,2,0
0xaaed1d43d583446990671ac6bca4b21f700b74ce,1,1,0
0xb54d377a2c27af3ef4dfba0671a9778f56895153,2,4,2
0xb84b9c91357b0029658064989007a6654868c47f,1,1,0
0xced9f37d056588c141050a80914bcacb4396c67f,1,2,1
0xd69d1a8a2f48e5a27491e44adc074390010a8458,1,1,0
0xdf0c052038043e6a9db678ee3416b5e09d2570a1,1,1,0
0xe9a2193d8adfa8309c878adc381ff572fef0323a,1,1,0
0x0ec79d6be36d862b2fcc4cdd4d34414e72a3a65c,1,1,0
0x140de1a8d9b8e5d2c19b3a25bfd6b861e8cd23be,1,1,0
0x201c4a8a13b4cc6b3a1f2298176996403f98ca75,1,1,0
0x5b361adf5f1da3e53eee5a3a2dc214db781751b7,1,1,0
0x5c5a097fff86aad158e9160b301b3096429dd2a0,1,1,0
0x888f1046a6f5f2257b18817b16feae5342f40d19,1,1,0
0xa7257507e2f318ea43a4253a086b4ef584650db9,1,1,0
0xad201bc799d35b89d83e0677c069422e7a19cdee,2,2,0
0xc2eb346b6313272f1e5e9ffc953a7c4824d69a53,1,1,0
0xdfc88aba9764fbed000065aab42339b9f5c98566,1,1,0
0xe53b7c2e13c3e764480cfdcf3d66e3c0bbea50f2,1,1,0
0x06e95f8aa8ac7728ad748055d3e82eed71901acc,1,1,0
0x11c45b1005009ad48b229d895b3ec71f3360e562,1,1,0
0x26bc25b105aba97c9339f240c535d2e95bcb6826,1,1,0
0x305c5d4973351fc5a910ddca6e1987cd411b6e17,1,1,0
0x33902b4f78e9b885c351b26c0fe049865ee0f011,1,1,0
0x364bec09cf92941554ce63d66c61ea28c08f0abc,1,1,0
0x4874f0a52a022a3ba15d59f4e31b9452d6a03edc,1,1,0
0x4a003f4dd246c9d68fabc7eabc692f0f284a132f,1,1,0
0x694cd849bc80f3f772ab9aef4be2df3af054dc6b,1,6,5
0x764b6990b7c8eacf9af121ff6730847caeb33f22,1,1,0
0x773405ca38cbed3796d25d71e6de34e3fe0e552f,3,10,7
0x80cd91e89793597cde653f5f5d21eeda2f2b26a8,1,1,0
0x966596ea944b9188a6f955fad9b35656e32e7db1,1,1,0
0xa15bafc89869e043b139e54c83ee6ef2636a99e4,1,1,0
0xb209631c46c7b11e0a8ce3c0a883c606328c503b,1,2,1
0xc2159c7fa16d359bdd37246efd5a77c1309f476b,1,2,1
0xc67db73e5b44f03c8e80fa5691223c1cff1706c1,1,1,0
0x1aa4730e6c922013886a449ca5e5a018c85372b7,1,2,1
0x2310511f3025909dc2368293c452a70b15e773ab,1,1,0
0x4a3a80c5dc02ada270b8037264f7b7471c25cf47,1,1,0
0x4d267c2dcd0adf3ab7bb67322c5571934838bae4,1,1,0
0x5cc5aa331bd5d53f5dfb912fa88f053b6cd4a960,1,1,0
0x63d94611d4e90e65697b8adcb52cbc460358647b,1,1,0
0x78c3cf83022059e41a97df45e79493db5e648f0c,1,1,0
0x9c4a9d12539fe0730dd4d24f17ab3567083b8a47,1,1,0
0xa4a1d6d09fef47516e1a24f77c67aa9959258694,2,2,0
0xabb7d6f844cc4c7a9863fc3579fed60ecc2b5938,2,2,0
0xace22ea141aa829abd54d064ae0069584486470f,1,1,0
0xb02abb89a4a6d6cbc4eec2977405bbe6b6d2bb46,1,1,0
0xb495b11cc58cdc95bc24c80b2576b8429a315291,1,1,0
0xb92cd6df01991ce1520c3f18106d9244ac649180,11,27,16
0xc43b131130fd4f6424703be53be17dac8f0b81c2,2,7,5
0xcb9edf1d5d4d89ae80966d6b087f1b50749ada8d,1,1,0
0xcd94f69811e4cf9bcba9b9e9bc96d6f6fca1d7ac,2,2,0
0xdca1c9ac52e655113fe8123fbf53d9349a5df358,1,1,0
0xe6013fe896007cd6182384c8fd48aa6d88fa73ff,1,4,3
